,starter,riddle,class
2205,legos,"I can turn into a car, building or even a robot. I__ man made and my siblings and I outnumber you sixty-two to one. My name means, Play well in my creator__ native tongue. What am I?",what am i
3541,watermelon,"my clothes are green,my body is red and i have many eyes. who am i?",who am i
4296,I am justice!,"I cut through evil like a double-edged sword, And chaos flees at my approach. Balance I single-handedly upraise, Through battles fought with heart and mind, Instead of with my gaze.What am I?",what am i
3311,chimney sweeper,i clean i climb i sweep i wine   what am i ?,what am i
2089,moon,"Very few men have ever been here, But one man has been for thousands of years. What am I?",what am i
1714,boogers,"sometimes i hang, sometimes im crusty, sometimes im bloody, and yellow. What am i?",what am i
4310,A Baseball Player.,"I play on a diamond, I play fair, I always get dirty, And then I run home.What am I?",what am i
4179,A Tree.,"An abundance in arms, but lacking in legs. A tall skinny body, but missing a head. I change with the seasons, it's winter I dread. What am I?",what am i
3494,lamp,I stand in one place yet i fill a whole room i can be filled with molten rock and come in every hue what am i ??,what am i
2357,sunflower,"Though I may lack in emotion, My life is filled with devotion, Daily I mimic your motion, But of me, you have no notion. I'm downcast when you me forsake, From me, my sons, some people take, Perhaps to fry, or salad make, Or to hydrate for their skin's sake. What am I?",what am i
3557,needle,"A slender body, a tiny eye, no matter what happens, I never cry.  What am I?",what am i
1578,seven,"I live above a star who never burns. I have 11 neighbors but they never turn. My initial are p, q, r, and sometimes s. What am I?",what am i
687,match,"I am bound in a book but you cannot read me, I am struck and played but not musically, I am your equal in skill and also in stature, I am used in heat and light manufacture. What am I?",what am i
1133,four,I am an English word that is as long as I am valued. What am I?,what am i
931,bargain,"My first may be fashioned of iron or wood, And at window or door for safety is placed; In village or town it does more harm than good, Leading people their health, time, and money to waste. My second's a lady, bewitching and fair, And for love of her people will labor and strive; Will rise before dawn, and be wearied with care, And pursue her with ardor as long as they live. My whole is what ladies admire and approve, The shopkeeper's boast—the purchaser's prize; 'Tis a ninepenny chintz—'tis a one-shilling glove— It is something which makes people open their eyes. What am I?",what am i
384,name,"I have been called a savage, a chief and oft times a leader. Some have called me the embodiment of courage, although to a Crook I did surrender. Where I was born, there were no enclosures. In the end, to bring me down, it took 5000 soldiers. As the ""terror of the country"", I had a reputation of cruelty and cunning. My tactics consisted of hitting and then running. Many movies and stories of me were made. The memories of me, the most famous of my people, will never fade. People have spoken ill of me so many times it would give your throat a lump. Yet sometimes, my name is the last word said when people make a big jump. Now it's time to give it a try. Do you know my name; who am I?",who am i
986,death,"My name is five letters long, I bring pain and suffering.but also happiness and peace. I can bring heaven or hell.What am I?",what am i
1891,rooster,"My call, I pray, at dawn of day, Shall rest you from your slumber, With job all done, my song all sung, I'll sit on seat of lumber. What am I?",what am i
2182,lie detector,"My first, a distorted picture it does portray.My second notices when trouble comes its way.My whole may shed some light when suspecting foul play. What am I?",what am i
932,goalie,I am a protector of the scoreboard. What am I?,what am i
2695,woman,I can alter the actions of a king and leave puzzled the greatest of philosophers. What am I?,what am i
218,watermelon,"You go at red, but stop at green. What am I?",what am i
158,bellows,"I breath and things get hot, though my heart is light as wind. The swordsman knows me not, though I helped to make his friend. I cannot do my job alone, Though others make me sigh, By their strength my job is done, So tell me, what am I?",what am i
1926,friendship,"Most people want it. If you have it, you are lucky. What is it?",what is it
2642,stone,I am a five letter word and very strong. I become single when you remove two letters from me. What Am I?,what am i
872,cement truck,My content is spun and spun.Its purpose not yet begun. First I must give it a ride.Then it's time to let it slide. The wet slop that I will spew.Will help buildings rise anew. What am I?,what am i
2298,drum,"I am only a head, I have nothing within, I have no mouth, But speak through my skin. What am I?",what am i
3399,im  a fan,"i coolyoudown, i spin around quite fast. what am i?",what am i
1083,doc,"People go to me.and so do boats. The boats bring the people, and the people bring the boats.  What am I?",what am i
3710,andrew,As I walked across the London bridge I met a London fellow. He said hello and drew his hat. In this riddle i said his name what is it????,what is it
3514,rhyme,"My first is in riddle, but not in little my second is in think, but not in brink my third is in thyme, but not in time my fourth is in mother, but not in brother my last is in time, but no t in climb what am i ??",what am i
2660,teabag,I start off dry but come out wet.  I go in light and come out heavy. What am I?,what am i
4069,I am a Rainbow.,"Violet, indigo, blue and green, yellow, orange, and red; are the colors you have seen after the storm has fled. What am I?",what am i
2614,diamond,"I may be hard, I may be rough,  Bound in the round to claim a love.  What am I?",what am i
738,book,I have a spine but no bones. What am I?,what am i
2885,weapon,"My first is in wield, sever bones and marrow.    My second is in blade, forged in cold steel.    My third is in arbalest, and also in arrows.    My fourth is in power, plunged through a shield.    My fifth is in honour, and also in vows   My last will put an end to it all.     What am I?",what am i
929,key,"There are likely many of us in the house.Consider us a companion of the mouse. Captains who encounter a string of bad luck.Could end up deserted on one of me stuck. But whether or not they will stay afloat.When I am depressed you will make a note. ""Off me"" doesn't produce a pleasant sound.For propagation I spin to the ground. If you'd like to get in, then give me a turn.A mystery's answer with me you will learn. I'm often associated with a ring.Although I'm multi-faceted in meaning. What am I?",what am i
2719,blackboard,I get whiter the dirtier I get. What am I?,what am i
4208,A piano.,"I can sing, but I can't speak. You can hear me, but I can't hear you. What am I?",what am i
