starters,generated_riddles,reference_riddles
traffic lights,I can be seen in a city or town. I am surrounded by trees. What am I?,"I have got three eyes and all are in a straight line. When my red eyes opens, everything freezes. What am I?'
"
A straight razor.,"I am a tool that can be used to cut hair. I can cut shaves, but I cannot cut the hairs. What am I?","My first is not bent around. My second means ""lift her up"" or ""cut her to the ground.""What am I?'
"
egg,"I am a sand, I'm shaped like twig, and I have ten legs. What am I?","I have no bones and no legs, but if you keep me warm, I will soon walk away. What am I?""
"
coconut,"I am a fruit that is shaped like ice. I can be sour, nut, or tasting. What am I?","I am rounded but wide, furry and yet shy, you favour my insides to the outi am bountiful without any doubt.  What am i?'
"
apple,I am a fruit that is ripe and I can be sliced and sown. What am I?,"I'm tempting, so it's said, I have a shiny coat of red, And my flesh is white beneath. I smell so sweet, Taste good to eat, And help to guard your teeth. What am I?""
"
smoke,"I am a thing that can be seen, but I can't be heard. What am I?","I am wingless but airborne, and when i meet your gaze tears will fall from your eyes what am i?""
"
mosquito,I am a bird that is solitary. I can be spotted by tyres. What am I?,"I drink red juice, go drunk, gain weight, fly to the sky then die. Who am I?'
"
pizza slice,I am a pizza that is made of ice. I have ten legs and eat sour cream. What am I?,"I'm a triangle. Inside of a circle. Inside of a square. What am I?""
"
shadow,I am a word that is used to describe sex. I can be seen in many different ways. What am I?,"I am duplicate of you, but only lighter. What am I?'
"
paint,I am a color that is used to make sand. I can be used for many different purposes. What am I?,"I am a kind of coat that can only be put on when wet. What am I?'
"
coins uksterling,"I am a type of sand, I have ten legs, and I can be thrown in tatters. What am I?","I used to come from below,  A very long time ago!         now,  The Queen sits upon me,  But i am not a throne!  I can make you rich,  But not if Im alone!     What am I??????'
"
six pack,I am a pack of six. I have four legs and ten arms. What am I?,"Find me on body builders or in the drink aisle.  What am I?'
"
Mississippi,I am a state in Mississippi. I have ten cities. What am I?,"I'm a measurement of time. But you'll find me on a map, not a clock.  What am I?""
"
butterfly,I am a butterfly that is spelled out in the middle of the sky. What am I?,"On the wing, the breeze seduced me. Newly born to take my flight. From the darkness I did rupture. From my prison, wrapped up tight. Come to rest on petals of brightness. All can see, my change is cast. I flutter by in paper lightness. And my species, they are vast. Darwin wrote of my pure beauty. I'm collected, caught in nets. Forever free to dance my duty. Never kept as pets. What am I?""
"
gold,"I am a gold that is spelled out in the middle. I can be coloured in tequila, or i can make ice. What am I?","I'm sometimes made into a coin. And sometimes into an ingot. When at the end of a rainbow. I am what is inside the pot. What am I?""
"
money,I am a commodity that can be bought or sold. I can come from many different types of people. What am I?,"I am two-faced, but bear one head.Men spill their blood for me.I have no legs but travel widely.I make kings immortal.I am potent when shared,Yet lust for my power keeps me locked away.What am I?'
"
teabag,"I am a liquid that is used to drink. I can be used for sand, or for tea. What am I?","I start off dry but come out wet.   I go in light and come out heavy.  What am I?'
"
"God. Credit: Bo Burnham, Musical Comedian, Song title- ""God\'s Perspective"".","I am the voice of God, and the creator of the universe. I\'m the son of a man, but I never die. What am I?","My love\'s the type of thing you have to earn, but when you earn it, you won\'t need it. Who am I?'
"
pie chart,"I have a number of numbers, but I'm not able to find any numbers. What am I?","I am a delicious way of representing data. What am I?""
"
shoe,"I am a type of shoe, I can be worn by people who are not able to walk. What am I?","I have a toungue but cannot talk. I have no legs but sometimes walk. What am I?'
"
water,I am a substance that is dissolved in water. I can be found in many places. What am I?,"I travel the world and I am drunk constantly. Who am I?'
"
silence,"I am a word that is used in syllables. I can be used to describe tense, evocative, or even resonant. What am I?","No Sooner Spoken Than Broken  What Is It?'
"
bike,I am a sport that is used to ride horses. I can be used for many reasons. What am I?,"I am always two-tired, but am never too tired. What am I?'
"
Phoenix,I am a place where you can see me. I can be surrounded by trees. What am I?,"It is possible that you have seen me. Though I doubt that if you look, that you could find me anywhere except within the pages of a book. My namesake lies in the desert plains. Perhaps now you have figured me out. Watch out, I might burst into flames and from the ashes new life will spring out. What am I?'
"
A towel.,I am a towel that is used to dry. I can be used for sand or mud. What am I?,"I am wet when drying. What am I?'
"
A simple smile.,"I am a word that is simple, but not spelled correctly. What am I?","A mile from end to end, Yet as close to you as a friend. A precious commodity, freely given. Seen on the dead and on the living. Found on the rich, poor, short, and tall, But shared among children most of all. What is it?'
"
binary,I am a word that is used in syllables. I can be viewed in many different ways. What am I?,"My first half means container.  Not a lot of people understand my language.  What am I?'
"
sandal,I am a type of sandal. I can be worn in sand or in water. What am I?,"I fasten to walk,and unfasten to stop.What am I?'
"
feet,I am a word that is used to describe squats. I can be curved or rounded. What am I?,"You use me everyday but let me rest at night. I have an identical twin beside me all the time. For some reason you always cover me up. I am not alive but I have a soul. What am I?'
"
psycopath,"I am a type of path. I can be ridden by sand, or thrown by water. What am I?","You may not think I am what I am but I know I am what I am.  The voices in my head tell I am what I am? What or who am I?'
"
fingernails,"I am a thing that can be spelled, but I can't be used. I have ten fingers, and I'm able to hold teeter. What am I?","I COME IN ALL SHAPES AND SIZES AND CAN BE ANY COLOR YOU WANT.  I CAN BE USED AS A WEAPON AND SOMETIMES BREAK EASILY, WHAT AM I?""
"
Popcorn.,I am a fruit that is shaped like ice. I can be thrown away by sand or tossed in mud. What am I?,"I start with a ""p"" and ends with ""o-r-n"" and I\'m a major player in the film industry. What am I?'
"
stone,"I am a stone that is not buried. I can be found in sand, but I cannot be thrown. What am I?","In my physical manifestation, my figure is of a neutral hue. As a calculation, one of me is almost certainly less than half of you. On your face, I am motionless and mute. To describe the cold, I am complete and absolute. Of proximity, I am always of a close pitch. For punishment, I taunt you even after I've put you in your ditch. What am I?""
"
fear,I am a word that is used to describe fear. I can be used in many ways. What am I?,"I am the creature that robs men of their dignity, pride, and will. I feast on children's dreams till' they have none. I am the monster in your head, waiting to strike. What am I?""
"
