starter,riddle,class
Hello.,"Riddle me this. I am humble in my greetings, but forget my whole and you are sure to find hell. What am I?",what am i
An egg.,"A box without hinges, key or lid, Yet golden treasure inside is hid.What am I?",what am i
Prince.,My full powers come when my makers are dead; I await a heavy hat to put on my head. What am I?,what am i
A desk.,"You will find me with four legs, but no hair.People ride me for hours, but I don't go anywhere.Without needing to be tugged, jerked or turned on,I always manage to be ready for work.What am I?",what am i
The letter I.,"I am not found on any ground,But always in the air; Though charged each cloud with thunder loud, You can not find me there. Now, if from France you choose to dance Your way just into Spain, I there am seen, and near the queen, In hail, in mist, and rain.What am I?",what am i
A Valentine.,"Roses are red, Violets are blue; And I'm forever saying: I love you. What am I?",what am i
Ocean,"I come across as flat,But theirs more to me than my surface;You climb my moutains from top to bottom,And fall from bottom to top.What am I?",what am i
Wine,"When young, I am sweet in the sun. When middle-aged, I make you gay. When old, I am valued more than ever. What am I?",what am i
A Frog.,I have four legs but no tail. Usually I am heard only at night. What am I?,what am i
A celestial body.,"I can kill people, but without me there would be no people. I was born long ago and will someday die. I can cause fire and am a magician with water. I have more brothers than any person. There is very little that can stop me.What am I?",what am i
Colors.,I come in a cone but I am not food;I will be skewed if you screw with my hue;I come by the millions but you can probably only name a few.What am I?,what am i
Oil.,"I am the fountain from which no one can drink. For many I am considered a necessary link. Like gold to all I am sought for, But my continued death brings wealth for all to want more. What am I?",what am i
A kiss.,"Of no use to one Yet absolute bliss to two. The small boy gets it for nothing. The young man has to lie for it. The old man has to buy it. The baby's right, The lover's privilege, The hypocrite's mask. To the young girl, faith; To the married woman, hope; To the old maid, charity. What am I?",what am i
I'm a Hearse.,"I'm sometimes white, Although sometimes I'm black. I take you there, But never bring you back. What am I?",what am i
Music,The letters of the alphabet but only just a few;It's hard to say if I was invented or just discovered by you.What am I?,what am i
A shoe.,"Runs over fields and woods all day Under the bed at night sits not alone, With long tongue hanging out, Awaiting for a bone. What am I?",what am i
Mince,"When you add meat to me, I become vegetarian. What am I?",what am i
The letter E.,"'Tis found in our troubles, 'tis mixed with our pleasures, 'Tis laid up above with our heavenly treasures; 'Tis whispered in heaven, and 'tis muttered in hell, And it findeth a place in each sybilline spell; In Paradise nestled, 'mid Eden's fair flowers, It has sported with Eve in rose-perfumed bowers; 'Tis muttered in curses, yet breathed in our prayers; From the path of our duty it tempts us in snares. Deep, deep in our hearts you will find it engraved; Though in misery sunk, yet from sin it is saved. 'Tis found in the stream that flows on to the ocean; Though in bustle forever, 'tis ne'er in commotion. 'Tis wafted afar o'er the land in each breath; In the grave 'tis decaying-you'll find it in death. It is floating away on the broad stream of time, Yet it findeth a place in eternity's clime. In the legends of nations it holdeth a place; There's no charm without it to the beautiful face. In thunder you'll hear it, if closely you listen; In moonbeam and sunbeam forever 'twill glisten. In the dew-drop it sparkles; 'tis found in the forest; It whispers in peace when our need is the sorest. What am I?",what am i
A lamb.,"My fleece is white as snow. Everywhere that Mary goes, I go. What am I?",what am i
An X-ray machine.,"Through me, you see through things. What am I?",what am i
lightning,"My tines be long, My tines be short, My tines end ere, My first report., What am I?",what am i
"The riddle ""A shrine beneath the sun"" is unanswered. Do you know the answer?  If so, click ANSWER  and add your answer in the comments section.","Untainted, Eternal, Marooned A place where the living will move. A shrine beneath the sun. Greeted by the morning's crest. Our sanctity, Our rest. For when our day is done. What am I?",what am i
The letter I.,"I am not found on any ground, But always in the air; Though charged each cloud with thunder loud, You can not find me there. Now, if from France you choose to dance Your way just into Spain, I there am seen, and near the queen, In hail, in mist, and rain.What am I?",what am i
I am Sand.,"I build up castles. I tear down mountains. I make some men blind, I help others to see. What am I?",what am i
I'm a Kiss!,"I am just two and two. I am hot. I am cold. I am the parent of numbers that cannot be told. I am a gift beyond measure, a matter of course. I am given with pleasure when taken by force. What am I?",what am i
The Nike Symbol.,"I am a tick, I am usually black or white, You will find me on many clothing, People think I am cool.What am I?",what am i
The T.A.R.D.I.S. from Doctor Who.,"I like to be blue and have been since '63, but I could be anything if my circuit was fixed. I'm small yet infinitely bigger. I was grown but I'm made of metal. I am the last of my kind just like my beautiful idiot once was. Together we will travel, have traveled or are traveling. Tenses as seen, seeing, will see, are mysterious to me. Wibblies and wobblies, time correctly described by a Lord. What will I be, what have I been, or is it, what am I?",what am i
A Cat!,"My first is in chocolate but not in ham, my second's in cake and also in jam, my third at tea-time is easily found, my whole is a friend who's often around. What am I?",what am i
A ship dock!,"I have a mouth, no butt, two cranes and floating vessels. What am I?",what am i
The Office of the President of the United States.,"I was born in the 18th century, yet still live on today. Appearing on TV when I have something to say. Called everything from ""honest"" to a dirty rotten ""crook"", I used to wear a wig, but have had several looks. I've always had a party, but never disturb the neighbors. I've been shot at many times - major stories for the papers. What am I?",what am i
